Player,Position,Date,TM,OPP,PTS,AST,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,TS%,USG%,eFG%,ORtg,DRtg,GmSc,BPM,OPP DRTG
Kevin Durant,Small,2022-10-19,BRK,NOP,32.0,2.0,11.0,21.0,0.524,2.0,6.0,0.333,8.0,9.0,0.889,4.0,0.641,37.9,0.571,111.0,126.0,21.8,8.4,112.5
Kevin Durant,Small,2022-10-21,BRK,TOR,27.0,6.0,8.0,18.0,0.444,3.0,9.0,0.333,8.0,10.0,0.8,5.0,0.603,35.1,0.528,111.0,114.0,18.5,4.3,114.0
Kevin Durant,Small,2022-10-24,BRK,MEM,37.0,4.0,14.0,20.0,0.7,1.0,3.0,0.333,8.0,9.0,0.889,1.0,0.772,28.1,0.725,157.0,141.0,30.3,8.1,111.2
Kevin Durant,Small,2022-10-26,BRK,MIL,33.0,3.0,10.0,23.0,0.435,1.0,4.0,0.25,12.0,13.0,0.923,5.0,0.575,36.8,0.457,100.0,109.0,19.6,4.5,111.9
Kevin Durant,Small,2022-10-27,BRK,DAL,37.0,5.0,12.0,21.0,0.571,2.0,5.0,0.4,11.0,11.0,1.0,3.0,0.716,31.1,0.619,142.0,125.0,30.8,11.5,116.7
Kevin Durant,Small,2022-10-29,BRK,IND,26.0,2.0,8.0,20.0,0.4,1.0,5.0,0.2,9.0,9.0,1.0,3.0,0.543,32.6,0.425,102.0,126.0,21.3,0.6,117.7
Kevin Durant,Small,2022-10-31,BRK,IND,36.0,7.0,13.0,22.0,0.591,2.0,5.0,0.4,8.0,8.0,1.0,3.0,0.705,32.5,0.636,134.0,104.0,31.3,9.0,117.7
Kevin Durant,Small,2022-11-01,BRK,CHI,32.0,6.0,9.0,16.0,0.563,2.0,4.0,0.5,12.0,12.0,1.0,7.0,0.752,35.6,0.625,116.0,109.0,25.5,8.4,112.2
Kevin Durant,Small,2022-11-04,BRK,WAS,28.0,11.0,10.0,21.0,0.476,2.0,6.0,0.333,6.0,6.0,1.0,2.0,0.592,36.0,0.524,128.0,91.0,26.0,10.5,115.6
Kevin Durant,Small,2022-11-05,BRK,CHO,27.0,2.0,10.0,20.0,0.5,1.0,4.0,0.25,6.0,6.0,1.0,3.0,0.596,31.5,0.525,106.0,100.0,19.1,3.1,115.3
Kevin Durant,Small,2022-11-07,BRK,DAL,26.0,4.0,10.0,20.0,0.5,1.0,3.0,0.333,5.0,7.0,0.714,3.0,0.563,31.9,0.525,112.0,112.0,17.3,3.3,116.7
Kevin Durant,Small,2022-11-09,BRK,NYK,29.0,12.0,10.0,19.0,0.526,1.0,5.0,0.2,8.0,10.0,0.8,1.0,0.62,30.9,0.553,142.0,81.0,32.3,20.8,114.8
Kevin Durant,Small,2022-11-12,BRK,LAC,27.0,3.0,10.0,16.0,0.625,3.0,5.0,0.6,4.0,4.0,1.0,3.0,0.76,27.7,0.719,125.0,93.0,22.5,9.6,114.5
Kevin Durant,Small,2022-11-13,BRK,LAL,31.0,7.0,8.0,16.0,0.5,2.0,3.0,0.667,13.0,15.0,0.867,3.0,0.686,30.7,0.563,131.0,120.0,27.4,11.3,113.9
Kevin Durant,Small,2022-11-15,BRK,SAC,27.0,6.0,8.0,15.0,0.533,0.0,1.0,0.0,11.0,11.0,1.0,2.0,0.68,30.4,0.533,133.0,141.0,23.0,3.8,116.8
Kevin Durant,Small,2022-11-17,BRK,POR,35.0,3.0,13.0,22.0,0.591,1.0,4.0,0.25,8.0,10.0,0.8,4.0,0.663,35.4,0.614,112.0,107.0,23.6,2.1,118.8
Kevin Durant,Small,2022-11-20,BRK,MEM,26.0,7.0,9.0,16.0,0.563,0.0,3.0,0.0,8.0,8.0,1.0,4.0,0.666,29.4,0.563,123.0,108.0,21.9,1.3,111.2
Kevin Durant,Small,2022-11-22,BRK,PHI,20.0,5.0,9.0,14.0,0.643,0.0,1.0,0.0,2.0,2.0,1.0,3.0,0.672,23.2,0.643,115.0,127.0,17.2,-0.7,113.3
Kevin Durant,Small,2022-11-25,BRK,IND,36.0,8.0,15.0,31.0,0.484,3.0,12.0,0.25,3.0,4.0,0.75,5.0,0.549,42.3,0.532,106.0,122.0,23.8,2.9,117.7
Kevin Durant,Small,2022-11-27,BRK,POR,31.0,5.0,12.0,20.0,0.6,3.0,6.0,0.5,4.0,4.0,1.0,1.0,0.712,32.1,0.675,138.0,113.0,24.2,8.1,118.8
Kevin Durant,Small,2022-11-28,BRK,ORL,45.0,5.0,19.0,24.0,0.792,3.0,5.0,0.6,4.0,4.0,1.0,6.0,0.873,37.9,0.854,141.0,102.0,37.6,19.2,114.2
Kevin Durant,Small,2022-11-30,BRK,WAS,39.0,5.0,13.0,20.0,0.65,2.0,3.0,0.667,11.0,11.0,1.0,1.0,0.785,32.2,0.7,154.0,111.0,33.3,15.5,115.6
Kevin Durant,Small,2022-12-02,BRK,TOR,17.0,7.0,6.0,10.0,0.6,0.0,3.0,0.0,5.0,6.0,0.833,2.0,0.672,17.0,0.6,132.0,104.0,19.0,7.5,114.0
Kevin Durant,Small,2022-12-04,BRK,BOS,31.0,5.0,13.0,24.0,0.542,1.0,5.0,0.2,4.0,5.0,0.8,8.0,0.592,38.4,0.563,94.0,103.0,20.0,7.9,111.5
Kevin Durant,Small,2022-12-07,BRK,CHO,29.0,8.0,12.0,19.0,0.632,2.0,5.0,0.4,3.0,3.0,1.0,3.0,0.714,29.8,0.684,130.0,120.0,25.0,5.4,115.3
Kevin Durant,Small,2022-12-09,BRK,ATL,34.0,4.0,14.0,25.0,0.56,2.0,7.0,0.286,4.0,4.0,1.0,4.0,0.635,36.0,0.6,115.0,114.0,24.5,3.9,116.3
Kevin Durant,Small,2022-12-12,BRK,WAS,30.0,6.0,11.0,17.0,0.647,3.0,6.0,0.5,5.0,5.0,1.0,3.0,0.781,29.5,0.735,136.0,98.0,27.7,16.6,115.6
Kevin Durant,Small,2022-12-16,BRK,TOR,28.0,3.0,10.0,15.0,0.667,2.0,3.0,0.667,6.0,6.0,1.0,5.0,0.794,29.2,0.733,124.0,124.0,19.6,1.9,114.0
Kevin Durant,Small,2022-12-18,BRK,DET,43.0,2.0,14.0,22.0,0.636,3.0,5.0,0.6,12.0,13.0,0.923,6.0,0.776,43.1,0.705,125.0,123.0,31.6,5.9,118.9
Kevin Durant,Small,2022-12-21,BRK,GSW,23.0,5.0,9.0,17.0,0.529,1.0,3.0,0.333,4.0,4.0,1.0,2.0,0.613,32.6,0.559,118.0,99.0,21.5,1.1,114.4
Kevin Durant,Small,2022-12-23,BRK,MIL,24.0,6.0,9.0,17.0,0.529,2.0,6.0,0.333,4.0,4.0,1.0,3.0,0.64,28.1,0.588,121.0,105.0,19.3,6.5,111.9
Kevin Durant,Small,2022-12-26,BRK,CLE,32.0,5.0,10.0,18.0,0.556,5.0,8.0,0.625,7.0,8.0,0.875,4.0,0.743,32.2,0.694,134.0,125.0,23.2,4.7,110.6
Kevin Durant,Small,2022-12-28,BRK,ATL,26.0,8.0,8.0,17.0,0.471,1.0,4.0,0.25,9.0,9.0,1.0,4.0,0.62,32.1,0.5,118.0,104.0,24.3,8.4,116.3
Kevin Durant,Small,2022-12-31,BRK,CHO,23.0,4.0,9.0,15.0,0.6,1.0,6.0,0.167,4.0,4.0,1.0,3.0,0.686,31.1,0.633,119.0,111.0,16.2,-0.5,115.3
Kevin Durant,Small,2023-01-02,BRK,SAS,25.0,11.0,10.0,14.0,0.714,0.0,1.0,0.0,5.0,5.0,1.0,2.0,0.772,27.3,0.714,155.0,95.0,29.1,19.1,120.0
Kevin Durant,Small,2023-01-04,BRK,CHI,44.0,5.0,15.0,22.0,0.682,5.0,10.0,0.5,9.0,9.0,1.0,3.0,0.847,32.8,0.795,149.0,119.0,37.9,20.3,112.2
Kevin Durant,Small,2023-01-06,BRK,NOP,33.0,3.0,9.0,26.0,0.346,4.0,7.0,0.571,11.0,11.0,1.0,4.0,0.535,41.7,0.423,103.0,107.0,20.9,1.4,112.5
Kevin Durant,Small,2023-01-08,BRK,MIA,17.0,2.0,5.0,11.0,0.455,1.0,3.0,0.333,6.0,7.0,0.857,4.0,0.604,29.2,0.5,102.0,114.0,10.8,-3.5,113.3
Kevin Durant,Small,2023-03-01,PHO,CHO,23.0,2.0,10.0,15.0,0.667,2.0,4.0,0.5,1.0,1.0,1.0,2.0,0.745,29.0,0.733,119.0,92.0,19.1,11.9,115.3
Kevin Durant,Small,2023-03-03,PHO,CHI,20.0,6.0,7.0,10.0,0.7,2.0,4.0,0.5,4.0,5.0,0.8,2.0,0.82,21.2,0.8,156.0,112.0,21.6,13.9,112.2
Kevin Durant,Small,2023-03-05,PHO,DAL,37.0,3.0,12.0,17.0,0.706,3.0,5.0,0.6,10.0,11.0,0.909,2.0,0.847,26.0,0.794,160.0,131.0,31.2,11.9,116.7
Kevin Durant,Small,2023-03-29,PHO,MIN,16.0,4.0,5.0,18.0,0.278,2.0,4.0,0.5,4.0,5.0,0.8,2.0,0.396,31.8,0.333,88.0,104.0,8.6,-1.4,113.8
Kevin Durant,Small,2023-03-31,PHO,DEN,30.0,2.0,11.0,15.0,0.733,2.0,3.0,0.667,6.0,7.0,0.857,3.0,0.83,26.9,0.8,135.0,97.0,25.5,16.1,114.2
Kevin Durant,Small,2023-04-02,PHO,OKC,35.0,5.0,13.0,21.0,0.619,3.0,7.0,0.429,6.0,6.0,1.0,2.0,0.74,33.3,0.69,138.0,121.0,29.5,13.0,114.2
Kevin Durant,Small,2023-04-04,PHO,SAS,18.0,2.0,6.0,14.0,0.429,2.0,4.0,0.5,4.0,6.0,0.667,3.0,0.541,24.7,0.5,103.0,103.0,10.4,-3.8,120.0
Kevin Durant,Small,2023-04-06,PHO,DEN,29.0,4.0,9.0,18.0,0.5,6.0,10.0,0.6,5.0,7.0,0.714,4.0,0.688,29.6,0.667,117.0,125.0,20.8,2.4,114.2
